instruction,domain,intent,sub_intent,tool,response_mode,entity_product,entity_merchant,entity_brand,entity_category,entity_price_min,entity_price_max,entity_location,entity_radius,requires_memory,requires_rag,requires_recommendation,planner_action,workflow_type,planner_actions,planner_action_count,tool_sequence
How do I get to Lidl?,NAVIGATION,ROUTE,DIRECTIONS,maps_tool,navigation,,Lidl,,,,,CURRENT_LOCATION,,false,false,false,GET_DIRECTIONS,single,GET_DIRECTIONS,1,maps_tool
Show me the way to Aldi.,NAVIGATION,ROUTE,DIRECTIONS,maps_tool,navigation,,Aldi,,,,,CURRENT_LOCATION,,false,false,false,GET_DIRECTIONS,single,GET_DIRECTIONS,1,maps_tool
Tell me how to reach EDEKA.,NAVIGATION,ROUTE,DIRECTIONS,maps_tool,navigation,,EDEKA,,,,,CURRENT_LOCATION,,false,false,false,GET_DIRECTIONS,single,GET_DIRECTIONS,1,maps_tool
Give me turn-by-turn directions to Kaufland.,NAVIGATION,ROUTE,DIRECTIONS,maps_tool,navigation,,Kaufland,,,,,CURRENT_LOCATION,,false,false,false,GET_DIRECTIONS,single,GET_DIRECTIONS,1,maps_tool
How can I get to Penny?,NAVIGATION,ROUTE,DIRECTIONS,maps_tool,navigation,,Penny,,,,,CURRENT_LOCATION,,false,false,false,GET_DIRECTIONS,single,GET_DIRECTIONS,1,maps_tool
Show directions to Netto.,NAVIGATION,ROUTE,DIRECTIONS,maps_tool,navigation,,Netto,,,,,CURRENT_LOCATION,,false,false,false,GET_DIRECTIONS,single,GET_DIRECTIONS,1,maps_tool
Tell me the way to dm.,NAVIGATION,ROUTE,DIRECTIONS,maps_tool,navigation,,dm,,,,,CURRENT_LOCATION,,false,false,false,GET_DIRECTIONS,single,GET_DIRECTIONS,1,maps_tool
Give me directions to Rossmann.,NAVIGATION,ROUTE,DIRECTIONS,maps_tool,navigation,,Rossmann,,,,,CURRENT_LOCATION,,false,false,false,GET_DIRECTIONS,single,GET_DIRECTIONS,1,maps_tool
How do I reach this supermarket?,NAVIGATION,ROUTE,DIRECTIONS,maps_tool,navigation,,Selected Supermarket,,,,,CURRENT_LOCATION,,false,false,false,GET_DIRECTIONS,single,GET_DIRECTIONS,1,maps_tool
Show me how to get to the grocery store.,NAVIGATION,ROUTE,DIRECTIONS,maps_tool,navigation,,Selected Grocery Store,,,,,CURRENT_LOCATION,,false,false,false,GET_DIRECTIONS,single,GET_DIRECTIONS,1,maps_tool
Tell me the directions from here to the market.,NAVIGATION,ROUTE,DIRECTIONS,maps_tool,navigation,,Selected Market,,,,,CURRENT_LOCATION,,false,false,false,GET_DIRECTIONS,single,GET_DIRECTIONS,1,maps_tool
Give me walking directions to Lidl.,NAVIGATION,ROUTE,DIRECTIONS,maps_tool,navigation,,Lidl,,,,,CURRENT_LOCATION,,false,false,false,GET_DIRECTIONS,single,GET_DIRECTIONS,1,maps_tool
Show me driving directions to REWE.,NAVIGATION,ROUTE,DIRECTIONS,maps_tool,navigation,,REWE,,,,,CURRENT_LOCATION,,false,false,false,GET_DIRECTIONS,single,GET_DIRECTIONS,1,maps_tool
Tell me how to reach the bakery.,NAVIGATION,ROUTE,DIRECTIONS,maps_tool,navigation,,Selected Bakery,,,,,CURRENT_LOCATION,,false,false,false,GET_DIRECTIONS,single,GET_DIRECTIONS,1,maps_tool
Give me cycling directions to Aldi.,NAVIGATION,ROUTE,DIRECTIONS,maps_tool,navigation,,Aldi,,,,,CURRENT_LOCATION,,false,false,false,GET_DIRECTIONS,single,GET_DIRECTIONS,1,maps_tool
How do I get from here to the store?,NAVIGATION,ROUTE,DIRECTIONS,maps_tool,navigation,,Selected Store,,,,,CURRENT_LOCATION,,false,false,false,GET_DIRECTIONS,single,GET_DIRECTIONS,1,maps_tool
Show the steps to reach EDEKA.,NAVIGATION,ROUTE,DIRECTIONS,maps_tool,navigation,,EDEKA,,,,,CURRENT_LOCATION,,false,false,false,GET_DIRECTIONS,single,GET_DIRECTIONS,1,maps_tool
Tell me which way to go to Kaufland.,NAVIGATION,ROUTE,DIRECTIONS,maps_tool,navigation,,Kaufland,,,,,CURRENT_LOCATION,,false,false,false,GET_DIRECTIONS,single,GET_DIRECTIONS,1,maps_tool
Give me directions to the selected shop.,NAVIGATION,ROUTE,DIRECTIONS,maps_tool,navigation,,Selected Shop,,,,,CURRENT_LOCATION,,false,false,false,GET_DIRECTIONS,single,GET_DIRECTIONS,1,maps_tool
Open REWE on the map.,NAVIGATION,ROUTE,OPEN_MAP,maps_tool,navigation,,REWE,,,,,CURRENT_LOCATION,,false,false,false,OPEN_GOOGLE_MAPS,single,OPEN_GOOGLE_MAPS,1,maps_tool
Show Lidl on the map.,NAVIGATION,ROUTE,OPEN_MAP,maps_tool,navigation,,Lidl,,,,,CURRENT_LOCATION,,false,false,false,OPEN_GOOGLE_MAPS,single,OPEN_GOOGLE_MAPS,1,maps_tool
Open the map for Aldi.,NAVIGATION,ROUTE,OPEN_MAP,maps_tool,navigation,,Aldi,,,,,CURRENT_LOCATION,,false,false,false,OPEN_GOOGLE_MAPS,single,OPEN_GOOGLE_MAPS,1,maps_tool
Display EDEKA on the map.,NAVIGATION,ROUTE,OPEN_MAP,maps_tool,navigation,,EDEKA,,,,,CURRENT_LOCATION,,false,false,false,OPEN_GOOGLE_MAPS,single,OPEN_GOOGLE_MAPS,1,maps_tool
Show Kaufland's location on the map.,NAVIGATION,ROUTE,OPEN_MAP,maps_tool,navigation,,Kaufland,,,,,CURRENT_LOCATION,,false,false,false,OPEN_GOOGLE_MAPS,single,OPEN_GOOGLE_MAPS,1,maps_tool
Open Penny in the map.,NAVIGATION,ROUTE,OPEN_MAP,maps_tool,navigation,,Penny,,,,,CURRENT_LOCATION,,false,false,false,OPEN_GOOGLE_MAPS,single,OPEN_GOOGLE_MAPS,1,maps_tool
Display Netto on the map.,NAVIGATION,ROUTE,OPEN_MAP,maps_tool,navigation,,Netto,,,,,CURRENT_LOCATION,,false,false,false,OPEN_GOOGLE_MAPS,single,OPEN_GOOGLE_MAPS,1,maps_tool
Show dm on the map.,NAVIGATION,ROUTE,OPEN_MAP,maps_tool,navigation,,dm,,,,,CURRENT_LOCATION,,false,false,false,OPEN_GOOGLE_MAPS,single,OPEN_GOOGLE_MAPS,1,maps_tool
Open Rossmann's map location.,NAVIGATION,ROUTE,OPEN_MAP,maps_tool,navigation,,Rossmann,,,,,CURRENT_LOCATION,,false,false,false,OPEN_GOOGLE_MAPS,single,OPEN_GOOGLE_MAPS,1,maps_tool
Show this supermarket on the map.,NAVIGATION,ROUTE,OPEN_MAP,maps_tool,navigation,,Selected Supermarket,,,,,CURRENT_LOCATION,,false,false,false,OPEN_GOOGLE_MAPS,single,OPEN_GOOGLE_MAPS,1,maps_tool
Open the grocery store in maps.,NAVIGATION,ROUTE,OPEN_MAP,maps_tool,navigation,,Selected Grocery Store,,,,,CURRENT_LOCATION,,false,false,false,OPEN_GOOGLE_MAPS,single,OPEN_GOOGLE_MAPS,1,maps_tool
Display the selected store on the map.,NAVIGATION,ROUTE,OPEN_MAP,maps_tool,navigation,,Selected Store,,,,,CURRENT_LOCATION,,false,false,false,OPEN_GOOGLE_MAPS,single,OPEN_GOOGLE_MAPS,1,maps_tool
Show the market's map pin.,NAVIGATION,ROUTE,OPEN_MAP,maps_tool,navigation,,Selected Market,,,,,CURRENT_LOCATION,,false,false,false,OPEN_GOOGLE_MAPS,single,OPEN_GOOGLE_MAPS,1,maps_tool
Open a map of the bakery.,NAVIGATION,ROUTE,OPEN_MAP,maps_tool,navigation,,Selected Bakery,,,,,CURRENT_LOCATION,,false,false,false,OPEN_GOOGLE_MAPS,single,OPEN_GOOGLE_MAPS,1,maps_tool
Display the shop location on the map.,NAVIGATION,ROUTE,OPEN_MAP,maps_tool,navigation,,Selected Shop,,,,,CURRENT_LOCATION,,false,false,false,OPEN_GOOGLE_MAPS,single,OPEN_GOOGLE_MAPS,1,maps_tool
Show the store on Google Maps.,NAVIGATION,ROUTE,OPEN_MAP,maps_tool,navigation,,Selected Store,,,,,CURRENT_LOCATION,,false,false,false,OPEN_GOOGLE_MAPS,single,OPEN_GOOGLE_MAPS,1,maps_tool
Open the map view for REWE.,NAVIGATION,ROUTE,OPEN_MAP,maps_tool,navigation,,REWE,,,,,CURRENT_LOCATION,,false,false,false,OPEN_GOOGLE_MAPS,single,OPEN_GOOGLE_MAPS,1,maps_tool
Display Lidl's map pin.,NAVIGATION,ROUTE,OPEN_MAP,maps_tool,navigation,,Lidl,,,,,CURRENT_LOCATION,,false,false,false,OPEN_GOOGLE_MAPS,single,OPEN_GOOGLE_MAPS,1,maps_tool
Show the merchant location on a map.,NAVIGATION,ROUTE,OPEN_MAP,maps_tool,navigation,,Selected Merchant,,,,,CURRENT_LOCATION,,false,false,false,OPEN_GOOGLE_MAPS,single,OPEN_GOOGLE_MAPS,1,maps_tool
Open the selected grocery shop on the map.,NAVIGATION,ROUTE,OPEN_MAP,maps_tool,navigation,,Selected Grocery Store,,,,,CURRENT_LOCATION,,false,false,false,OPEN_GOOGLE_MAPS,single,OPEN_GOOGLE_MAPS,1,maps_tool
Find frozen pizza under €4 and route me to the cheapest store.,PRODUCT,SEARCH,SEARCH_BY_PRICE,merchant_search,hybrid,Frozen Pizza,,,,,4.0,CURRENT_LOCATION,,false,false,true,SEARCH_PRODUCT_BY_PRICE,sequential,SEARCH_PRODUCT_BY_PRICE > ROUTE_TO_MERCHANT,2,merchant_search > maps_tool
"Show me whole milk below €2, then start navigation to the best-priced option.",PRODUCT,SEARCH,SEARCH_BY_PRICE,merchant_search,hybrid,Whole Milk,,,,,2.0,CURRENT_LOCATION,,false,false,true,SEARCH_PRODUCT_BY_PRICE,sequential,SEARCH_PRODUCT_BY_PRICE > ROUTE_TO_MERCHANT,2,merchant_search > maps_tool
Search for olive oil costing no more than €8 and take me to the store.,PRODUCT,SEARCH,SEARCH_BY_PRICE,merchant_search,hybrid,Olive Oil,,,,,8.0,CURRENT_LOCATION,,false,false,true,SEARCH_PRODUCT_BY_PRICE,sequential,SEARCH_PRODUCT_BY_PRICE > ROUTE_TO_MERCHANT,2,merchant_search > maps_tool
Locate ground coffee under €6 and guide me to the cheapest seller.,PRODUCT,SEARCH,SEARCH_BY_PRICE,merchant_search,hybrid,Ground Coffee,,,,,6.0,CURRENT_LOCATION,,false,false,true,SEARCH_PRODUCT_BY_PRICE,sequential,SEARCH_PRODUCT_BY_PRICE > ROUTE_TO_MERCHANT,2,merchant_search > maps_tool
Find the lowest-priced basmati rice below €5 and navigate me there.,PRODUCT,SEARCH,SEARCH_BY_PRICE,merchant_search,hybrid,Basmati Rice,,,,,5.0,CURRENT_LOCATION,,false,false,true,SEARCH_PRODUCT_BY_PRICE,sequential,SEARCH_PRODUCT_BY_PRICE > ROUTE_TO_MERCHANT,2,merchant_search > maps_tool
Find eggs under €4 and route me to the cheapest store.,PRODUCT,SEARCH,SEARCH_BY_PRICE,merchant_search,hybrid,Eggs,,,,,4.0,CURRENT_LOCATION,,false,false,true,SEARCH_PRODUCT_BY_PRICE,sequential,SEARCH_PRODUCT_BY_PRICE > ROUTE_TO_MERCHANT,2,merchant_search > maps_tool
"Show me oat milk below €3, then start navigation to the best-priced option.",PRODUCT,SEARCH,SEARCH_BY_PRICE,merchant_search,hybrid,Oat Milk,,,,,3.0,CURRENT_LOCATION,,false,false,true,SEARCH_PRODUCT_BY_PRICE,sequential,SEARCH_PRODUCT_BY_PRICE > ROUTE_TO_MERCHANT,2,merchant_search > maps_tool
Search for cheddar cheese costing no more than €5 and take me to the store.,PRODUCT,SEARCH,SEARCH_BY_PRICE,merchant_search,hybrid,Cheddar Cheese,,,,,5.0,CURRENT_LOCATION,,false,false,true,SEARCH_PRODUCT_BY_PRICE,sequential,SEARCH_PRODUCT_BY_PRICE > ROUTE_TO_MERCHANT,2,merchant_search > maps_tool
Locate orange juice under €3 and guide me to the cheapest seller.,PRODUCT,SEARCH,SEARCH_BY_PRICE,merchant_search,hybrid,Orange Juice,,,,,3.0,CURRENT_LOCATION,,false,false,true,SEARCH_PRODUCT_BY_PRICE,sequential,SEARCH_PRODUCT_BY_PRICE > ROUTE_TO_MERCHANT,2,merchant_search > maps_tool
Find the lowest-priced chicken breast below €10 and navigate me there.,PRODUCT,SEARCH,SEARCH_BY_PRICE,merchant_search,hybrid,Chicken Breast,,,,,10.0,CURRENT_LOCATION,,false,false,true,SEARCH_PRODUCT_BY_PRICE,sequential,SEARCH_PRODUCT_BY_PRICE > ROUTE_TO_MERCHANT,2,merchant_search > maps_tool
Find Greek yogurt under €3 and open the cheapest store on the map.,PRODUCT,SEARCH,SEARCH_BY_PRICE,merchant_search,hybrid,Greek Yogurt,,,,,3.0,CURRENT_LOCATION,,false,false,true,SEARCH_PRODUCT_BY_PRICE,sequential,SEARCH_PRODUCT_BY_PRICE > OPEN_GOOGLE_MAPS,2,merchant_search > maps_tool
"Show me the best price for spaghetti below €2.5, then display the store on the map.",PRODUCT,SEARCH,SEARCH_BY_PRICE,merchant_search,hybrid,Spaghetti,,,,,2.5,CURRENT_LOCATION,,false,false,true,SEARCH_PRODUCT_BY_PRICE,sequential,SEARCH_PRODUCT_BY_PRICE > OPEN_GOOGLE_MAPS,2,merchant_search > maps_tool
Search for butter under €4 and open the winning location in maps.,PRODUCT,SEARCH,SEARCH_BY_PRICE,merchant_search,hybrid,Butter,,,,,4.0,CURRENT_LOCATION,,false,false,true,SEARCH_PRODUCT_BY_PRICE,sequential,SEARCH_PRODUCT_BY_PRICE > OPEN_GOOGLE_MAPS,2,merchant_search > maps_tool
Locate the cheapest mineral water below €1.5 and show me where the store is.,PRODUCT,SEARCH,SEARCH_BY_PRICE,merchant_search,hybrid,Mineral Water,,,,,1.5,CURRENT_LOCATION,,false,false,true,SEARCH_PRODUCT_BY_PRICE,sequential,SEARCH_PRODUCT_BY_PRICE > OPEN_GOOGLE_MAPS,2,merchant_search > maps_tool
"Find tomato sauce for no more than €2.5, then open that shop on the map.",PRODUCT,SEARCH,SEARCH_BY_PRICE,merchant_search,hybrid,Tomato Sauce,,,,,2.5,CURRENT_LOCATION,,false,false,true,SEARCH_PRODUCT_BY_PRICE,sequential,SEARCH_PRODUCT_BY_PRICE > OPEN_GOOGLE_MAPS,2,merchant_search > maps_tool
Compare prices for Kartoffel Püree and check whether the cheapest option is in stock.,PRODUCT,COMPARE,COMPARE_PRODUCTS,merchant_search,hybrid,Kartoffel Püree,,,,,,CURRENT_LOCATION,,false,false,true,COMPARE_PRODUCTS,parallel,COMPARE_PRODUCTS > CHECK_PRODUCT_AVAILABILITY,2,merchant_search > merchant_search
Find the lowest price for oat milk and confirm that it is available.,PRODUCT,COMPARE,COMPARE_PRODUCTS,merchant_search,hybrid,Oat Milk,,,,,,CURRENT_LOCATION,,false,false,true,COMPARE_PRODUCTS,parallel,COMPARE_PRODUCTS > CHECK_PRODUCT_AVAILABILITY,2,merchant_search > merchant_search
Show me the cheapest olive oil and check its availability.,PRODUCT,COMPARE,COMPARE_PRODUCTS,merchant_search,hybrid,Olive Oil,,,,,,CURRENT_LOCATION,,false,false,true,COMPARE_PRODUCTS,parallel,COMPARE_PRODUCTS > CHECK_PRODUCT_AVAILABILITY,2,merchant_search > merchant_search
"Compare ground coffee prices, then see if the best deal is in stock.",PRODUCT,COMPARE,COMPARE_PRODUCTS,merchant_search,hybrid,Ground Coffee,,,,,,CURRENT_LOCATION,,false,false,true,COMPARE_PRODUCTS,parallel,COMPARE_PRODUCTS > CHECK_PRODUCT_AVAILABILITY,2,merchant_search > merchant_search
Find a cheaper frozen pizza option and verify that I can buy it now.,PRODUCT,COMPARE,COMPARE_PRODUCTS,merchant_search,hybrid,Frozen Pizza,,,,,,CURRENT_LOCATION,,false,false,true,COMPARE_PRODUCTS,parallel,COMPARE_PRODUCTS > CHECK_PRODUCT_AVAILABILITY,2,merchant_search > merchant_search
Show the best-priced whole milk and check whether it is available today.,PRODUCT,COMPARE,COMPARE_PRODUCTS,merchant_search,hybrid,Whole Milk,,,,,,CURRENT_LOCATION,,false,false,true,COMPARE_PRODUCTS,parallel,COMPARE_PRODUCTS > CHECK_PRODUCT_AVAILABILITY,2,merchant_search > merchant_search
Compare the prices of basmati rice and confirm stock for the cheapest result.,PRODUCT,COMPARE,COMPARE_PRODUCTS,merchant_search,hybrid,Basmati Rice,,,,,,CURRENT_LOCATION,,false,false,true,COMPARE_PRODUCTS,parallel,COMPARE_PRODUCTS > CHECK_PRODUCT_AVAILABILITY,2,merchant_search > merchant_search
Find the cheapest place for cheddar cheese and check that the product is available.,PRODUCT,COMPARE,COMPARE_PRODUCTS,merchant_search,hybrid,Cheddar Cheese,,,,,,CURRENT_LOCATION,,false,false,true,COMPARE_PRODUCTS,parallel,COMPARE_PRODUCTS > CHECK_PRODUCT_AVAILABILITY,2,merchant_search > merchant_search
Compare prices for bananas and open the cheapest store on the map.,PRODUCT,COMPARE,COMPARE_PRODUCTS,merchant_search,hybrid,Bananas,,,,,,CURRENT_LOCATION,,false,false,true,COMPARE_PRODUCTS,sequential,COMPARE_PRODUCTS > OPEN_GOOGLE_MAPS,2,merchant_search > maps_tool
"Find the lowest price for tomato sauce, then show me the store location.",PRODUCT,COMPARE,COMPARE_PRODUCTS,merchant_search,hybrid,Tomato Sauce,,,,,,CURRENT_LOCATION,,false,false,true,COMPARE_PRODUCTS,sequential,COMPARE_PRODUCTS > OPEN_GOOGLE_MAPS,2,merchant_search > maps_tool
Show me the cheapest ice cream and open that shop in maps.,PRODUCT,COMPARE,COMPARE_PRODUCTS,merchant_search,hybrid,Ice Cream,,,,,,CURRENT_LOCATION,,false,false,true,COMPARE_PRODUCTS,sequential,COMPARE_PRODUCTS > OPEN_GOOGLE_MAPS,2,merchant_search > maps_tool
Compare black tea prices and display the best-priced store on the map.,PRODUCT,COMPARE,COMPARE_PRODUCTS,merchant_search,hybrid,Black Tea,,,,,,CURRENT_LOCATION,,false,false,true,COMPARE_PRODUCTS,sequential,COMPARE_PRODUCTS > OPEN_GOOGLE_MAPS,2,merchant_search > maps_tool
"Find a cheaper cornflakes option, then show me where to buy it.",PRODUCT,COMPARE,COMPARE_PRODUCTS,merchant_search,hybrid,Cornflakes,,,,,,CURRENT_LOCATION,,false,false,true,COMPARE_PRODUCTS,sequential,COMPARE_PRODUCTS > OPEN_GOOGLE_MAPS,2,merchant_search > maps_tool
Where is apples cheapest? Open that store on the map.,PRODUCT,COMPARE,COMPARE_PRODUCTS,merchant_search,hybrid,Apples,,,,,,CURRENT_LOCATION,,false,false,true,COMPARE_PRODUCTS,sequential,COMPARE_PRODUCTS > OPEN_GOOGLE_MAPS,2,merchant_search > maps_tool
Find the best deal on butter and display the seller in maps.,PRODUCT,COMPARE,COMPARE_PRODUCTS,merchant_search,hybrid,Butter,,,,,,CURRENT_LOCATION,,false,false,true,COMPARE_PRODUCTS,sequential,COMPARE_PRODUCTS > OPEN_GOOGLE_MAPS,2,merchant_search > maps_tool
Find Barilla pasta and compare the available prices.,PRODUCT,SEARCH,SEARCH_BY_BRAND,merchant_search,hybrid,Pasta,,Barilla,,,,CURRENT_LOCATION,,false,false,true,SEARCH_PRODUCT_BY_BRAND,sequential,SEARCH_PRODUCT_BY_BRAND > COMPARE_PRODUCTS,2,merchant_search > merchant_search
"Search for Alpro drinks, then show me the cheapest option.",PRODUCT,SEARCH,SEARCH_BY_BRAND,merchant_search,hybrid,Food and Drinks,,Alpro,,,,CURRENT_LOCATION,,false,false,true,SEARCH_PRODUCT_BY_BRAND,sequential,SEARCH_PRODUCT_BY_BRAND > COMPARE_PRODUCTS,2,merchant_search > merchant_search
Show me Lavazza coffee and compare prices across the results.,PRODUCT,SEARCH,SEARCH_BY_BRAND,merchant_search,hybrid,Coffee,,Lavazza,,,,CURRENT_LOCATION,,false,false,true,SEARCH_PRODUCT_BY_BRAND,sequential,SEARCH_PRODUCT_BY_BRAND > COMPARE_PRODUCTS,2,merchant_search > merchant_search
"Look for Milka chocolate, then find the best-priced product.",PRODUCT,SEARCH,SEARCH_BY_BRAND,merchant_search,hybrid,Chocolate,,Milka,,,,CURRENT_LOCATION,,false,false,true,SEARCH_PRODUCT_BY_BRAND,sequential,SEARCH_PRODUCT_BY_BRAND > COMPARE_PRODUCTS,2,merchant_search > merchant_search
Search for Dr. Oetker pizza and suggest the cheapest suitable option.,PRODUCT,SEARCH,SEARCH_BY_BRAND,merchant_search,hybrid,Pizza,,Dr. Oetker,,,,CURRENT_LOCATION,,false,false,true,SEARCH_PRODUCT_BY_BRAND,sequential,SEARCH_PRODUCT_BY_BRAND > COMPARE_PRODUCTS,2,merchant_search > merchant_search
Show me dairy products and compare the prices.,PRODUCT,SEARCH,SEARCH_BY_CATEGORY,merchant_search,hybrid,,,,Dairy,,,CURRENT_LOCATION,,false,false,true,SEARCH_PRODUCT_BY_CATEGORY,sequential,SEARCH_PRODUCT_BY_CATEGORY > COMPARE_PRODUCTS,2,merchant_search > merchant_search
"Find frozen foods, then identify the cheapest option.",PRODUCT,SEARCH,SEARCH_BY_CATEGORY,merchant_search,hybrid,,,,Frozen Food,,,CURRENT_LOCATION,,false,false,true,SEARCH_PRODUCT_BY_CATEGORY,sequential,SEARCH_PRODUCT_BY_CATEGORY > COMPARE_PRODUCTS,2,merchant_search > merchant_search
Search the breakfast cereals category and show me the best deal.,PRODUCT,SEARCH,SEARCH_BY_CATEGORY,merchant_search,hybrid,,,,Breakfast Cereal,,,CURRENT_LOCATION,,false,false,true,SEARCH_PRODUCT_BY_CATEGORY,sequential,SEARCH_PRODUCT_BY_CATEGORY > COMPARE_PRODUCTS,2,merchant_search > merchant_search
"Browse soft drinks, then compare prices for the results.",PRODUCT,SEARCH,SEARCH_BY_CATEGORY,merchant_search,hybrid,,,,Soft Drinks,,,CURRENT_LOCATION,,false,false,true,SEARCH_PRODUCT_BY_CATEGORY,sequential,SEARCH_PRODUCT_BY_CATEGORY > COMPARE_PRODUCTS,2,merchant_search > merchant_search
Find cleaning products and suggest a cheaper suitable product.,PRODUCT,SEARCH,SEARCH_BY_CATEGORY,merchant_search,hybrid,,,,Cleaning Products,,,CURRENT_LOCATION,,false,false,true,SEARCH_PRODUCT_BY_CATEGORY,sequential,SEARCH_PRODUCT_BY_CATEGORY > COMPARE_PRODUCTS,2,merchant_search > merchant_search
Check whether oat milk is available and give me directions to the store.,PRODUCT,CHECK,CHECK_AVAILABILITY,merchant_search,hybrid,Oat Milk,,,,,,CURRENT_LOCATION,,false,false,false,CHECK_PRODUCT_AVAILABILITY,sequential,CHECK_PRODUCT_AVAILABILITY > GET_DIRECTIONS,2,merchant_search > maps_tool
"See if frozen peas is in stock, then guide me to the seller.",PRODUCT,CHECK,CHECK_AVAILABILITY,merchant_search,hybrid,Frozen Peas,,,,,,CURRENT_LOCATION,,false,false,false,CHECK_PRODUCT_AVAILABILITY,sequential,CHECK_PRODUCT_AVAILABILITY > GET_DIRECTIONS,2,merchant_search > maps_tool
Confirm that chicken breast is available and show me how to get there.,PRODUCT,CHECK,CHECK_AVAILABILITY,merchant_search,hybrid,Chicken Breast,,,,,,CURRENT_LOCATION,,false,false,false,CHECK_PRODUCT_AVAILABILITY,sequential,CHECK_PRODUCT_AVAILABILITY > GET_DIRECTIONS,2,merchant_search > maps_tool
"Check stock for orange juice, then open directions to the store.",PRODUCT,CHECK,CHECK_AVAILABILITY,merchant_search,hybrid,Orange Juice,,,,,,CURRENT_LOCATION,,false,false,false,CHECK_PRODUCT_AVAILABILITY,sequential,CHECK_PRODUCT_AVAILABILITY > GET_DIRECTIONS,2,merchant_search > maps_tool
Find out whether Greek yogurt is available and take me to the shop.,PRODUCT,CHECK,CHECK_AVAILABILITY,merchant_search,hybrid,Greek Yogurt,,,,,,CURRENT_LOCATION,,false,false,false,CHECK_PRODUCT_AVAILABILITY,sequential,CHECK_PRODUCT_AVAILABILITY > GET_DIRECTIONS,2,merchant_search > maps_tool
"Find bananas, check whether it is in stock, and open the store on the map.",PRODUCT,SEARCH,SEARCH,merchant_search,hybrid,Bananas,,,,,,CURRENT_LOCATION,,false,false,false,SEARCH_PRODUCT,sequential,SEARCH_PRODUCT > CHECK_PRODUCT_AVAILABILITY > OPEN_GOOGLE_MAPS,3,merchant_search > merchant_search > maps_tool
"Search for whole milk, confirm availability, then show me the seller's location.",PRODUCT,SEARCH,SEARCH,merchant_search,hybrid,Whole Milk,,,,,,CURRENT_LOCATION,,false,false,false,SEARCH_PRODUCT,sequential,SEARCH_PRODUCT > CHECK_PRODUCT_AVAILABILITY > OPEN_GOOGLE_MAPS,3,merchant_search > merchant_search > maps_tool
"Look up spaghetti, check stock, and display the store in maps.",PRODUCT,SEARCH,SEARCH,merchant_search,hybrid,Spaghetti,,,,,,CURRENT_LOCATION,,false,false,false,SEARCH_PRODUCT,sequential,SEARCH_PRODUCT > CHECK_PRODUCT_AVAILABILITY > OPEN_GOOGLE_MAPS,3,merchant_search > merchant_search > maps_tool
"Find black tea, make sure it is available, then open the shop on the map.",PRODUCT,SEARCH,SEARCH,merchant_search,hybrid,Black Tea,,,,,,CURRENT_LOCATION,,false,false,false,SEARCH_PRODUCT,sequential,SEARCH_PRODUCT > CHECK_PRODUCT_AVAILABILITY > OPEN_GOOGLE_MAPS,3,merchant_search > merchant_search > maps_tool
"Search for tomato sauce, verify that I can buy it, and show me where.",PRODUCT,SEARCH,SEARCH,merchant_search,hybrid,Tomato Sauce,,,,,,CURRENT_LOCATION,,false,false,false,SEARCH_PRODUCT,sequential,SEARCH_PRODUCT > CHECK_PRODUCT_AVAILABILITY > OPEN_GOOGLE_MAPS,3,merchant_search > merchant_search > maps_tool
Find the nearest REWE and open its store details.,MERCHANT,SEARCH,NEARBY,merchant_api,hybrid,,REWE,,,,,CURRENT_LOCATION,1500,false,false,false,SEARCH_NEARBY_MERCHANTS,sequential,SEARCH_NEARBY_MERCHANTS > SHOW_MERCHANT_DETAILS,2,merchant_api > merchant_api
"Show me the closest Lidl, then display the store page.",MERCHANT,SEARCH,NEARBY,merchant_api,hybrid,,Lidl,,,,,CURRENT_LOCATION,1500,false,false,false,SEARCH_NEARBY_MERCHANTS,sequential,SEARCH_NEARBY_MERCHANTS > SHOW_MERCHANT_DETAILS,2,merchant_api > merchant_api
Locate a nearby Aldi and tell me more about it.,MERCHANT,SEARCH,NEARBY,merchant_api,hybrid,,Aldi,,,,,CURRENT_LOCATION,1500,false,false,false,SEARCH_NEARBY_MERCHANTS,sequential,SEARCH_NEARBY_MERCHANTS > SHOW_MERCHANT_DETAILS,2,merchant_api > merchant_api
Find the closest EDEKA and show its merchant profile.,MERCHANT,SEARCH,NEARBY,merchant_api,hybrid,,EDEKA,,,,,CURRENT_LOCATION,1500,false,false,false,SEARCH_NEARBY_MERCHANTS,sequential,SEARCH_NEARBY_MERCHANTS > SHOW_MERCHANT_DETAILS,2,merchant_api > merchant_api
"Search for a Kaufland near me, then open its details.",MERCHANT,SEARCH,NEARBY,merchant_api,hybrid,,Kaufland,,,,,CURRENT_LOCATION,1500,false,false,false,SEARCH_NEARBY_MERCHANTS,sequential,SEARCH_NEARBY_MERCHANTS > SHOW_MERCHANT_DETAILS,2,merchant_api > merchant_api
Which Penny is nearest? Show me the store information.,MERCHANT,SEARCH,NEARBY,merchant_api,hybrid,,Penny,,,,,CURRENT_LOCATION,1500,false,false,false,SEARCH_NEARBY_MERCHANTS,sequential,SEARCH_NEARBY_MERCHANTS > SHOW_MERCHANT_DETAILS,2,merchant_api > merchant_api
